pwc_task_label,pwc_area_label,record_count,task_total_records,area_total_records
3D Face Modelling,General,6,31,114234
Lexical Analysis,General,6,56,114234
Perceptual Distance,Computer Vision,6,33,54472
Perceptual Distance,General,6,33,114234
Document Embedding,Sequential,6,76,6593
Weakly-supervised instance segmentation,General,6,39,114234
Caricature,Natural Language Processing,6,37,40996
Multi Label Text Classification,Sequential,6,135,6593
Multi-Label Text Classification,Sequential,6,170,6593
Learning Word Embeddings,General,6,91,114234
Learning Word Embeddings,Natural Language Processing,6,91,40996
Music Modeling,Natural Language Processing,6,34,40996
Cyber Attack Detection,Computer Vision,6,41,54472
Landmark Recognition,Computer Vision,6,33,54472
Stock Market Prediction,Computer Vision,6,104,54472
Linear-Probe Classification,General,6,11,114234
Multimodal Intent Recognition,General,6,16,114234
Program Synthesis,Sequential,6,419,6593
Constituency Grammar Induction,General,6,21,114234
Motion Magnification,General,6,38,114234
Brain Image Segmentation,General,6,30,114234
Prediction,Audio,6,8724,488
Speech-to-Text Translation,Computer Vision,6,145,54472
Word Translation,Computer Vision,6,123,54472
General Reinforcement Learning,Computer Vision,6,84,54472
3D Feature Matching,Computer Vision,6,19,54472
AI Agent,Sequential,6,391,6593
Fine-grained Action Recognition,General,6,38,114234
Sleep Quality,Computer Vision,6,61,54472
Heart Segmentation,Computer Vision,6,30,54472
Entity Disambiguation,Sequential,6,155,6593
Concept Alignment,General,6,36,114234
Argument Mining,Computer Vision,6,283,54472
text similarity,Sequential,6,268,6593
Spatio-Temporal Action Localization,General,6,37,114234
Local Distortion,Computer Vision,6,25,54472
Video Object Segmentation,Sequential,6,549,6593
Medical Image Enhancement,Computer Vision,6,17,54472
compressed sensing,Sequential,6,988,6593
Linguistic Acceptability,Sequential,6,72,6593
Drug–drug Interaction Extraction,Natural Language Processing,6,26,40996
Card Games,Reinforcement Learning,6,52,6988
Partially Labeled Datasets,General,6,29,114234
Sequential Bayesian Inference,General,6,20,114234
Onset Detection,General,6,34,114234
Clinical Concept Extraction,Natural Language Processing,6,23,40996
Video Description,Computer Vision,6,103,54472
Action Segmentation,Sequential,6,217,6593
Masked Language Modeling,Sequential,6,456,6593
Phoneme Recognition,Computer Vision,6,103,54472
Cantilever Beam,General,6,25,114234
Surface Normals Estimation,Computer Vision,6,38,54472
Chinese Sentiment Analysis,General,6,11,114234
Mitosis Detection,Computer Vision,6,47,54472
Multi-target Domain Adaptation,Computer Vision,6,39,54472
Facial expression generation,Computer Vision,6,22,54472
WNLI,General,6,8,114234
WNLI,Natural Language Processing,6,8,40996
Speech Synthesis,Reinforcement Learning,6,1247,6988
image smoothing,General,6,44,114234
Solar Flare Prediction,General,6,27,114234
Seismic Imaging,General,6,44,114234
Multilingual Named Entity Recognition,Natural Language Processing,6,37,40996
Spoken Dialogue Systems,Natural Language Processing,6,250,40996
Text Style Transfer,Sequential,6,179,6593
Patent classification,Natural Language Processing,6,36,40996
Diachronic Word Embeddings,Natural Language Processing,6,27,40996
Keyphrase Extraction,Graphs,6,150,12318
Semantic Dependency Parsing,General,6,49,114234
Monocular Depth Estimation,Reinforcement Learning,6,875,6988
Kinship Verification,General,6,42,114234
Active Speaker Detection,General,6,63,114234
Activity Prediction,Computer Vision,6,106,54472
DQN Replay Dataset,Reinforcement Learning,6,7,6988
Voice Cloning,Sequential,6,112,6593
Sequential Image Classification,Computer Vision,6,44,54472
Cross-Modality Person Re-identification,General,6,26,114234
Veracity Classification,General,6,19,114234
coreference-resolution,Sequential,6,584,6593
Sentence Fusion,Natural Language Processing,6,35,40996
Sentence Fusion,Sequential,6,35,6593
Multimodal Deep Learning,Sequential,6,211,6593
Self-Supervised Action Recognition Linear,General,6,11,114234
Multivariate Time Series Forecasting,Sequential,6,245,6593
Image Restoration,Sequential,6,1454,6593
Blood pressure estimation,Computer Vision,6,29,54472
Fine-Grained Visual Categorization,Natural Language Processing,6,69,40996
Zero-Shot Cross-Modal Retrieval,Natural Language Processing,6,26,40996
Lightweight Face Recognition,General,6,14,114234
Semantic Composition,Natural Language Processing,6,110,40996
Edge Classification,Computer Vision,6,56,54472
Single-step retrosynthesis,Natural Language Processing,6,34,40996
Pathfinder,General,6,42,114234
Weakly-supervised Temporal Action Localization,General,6,76,114234
Cover song identification,General,6,18,114234
Propaganda detection,Sequential,6,61,6593
Literature Mining,General,6,24,114234
Program Repair,Graphs,6,132,12318
Dynamic graph embedding,Computer Vision,6,24,54472
Query-focused Summarization,General,6,35,114234
Query-focused Summarization,Natural Language Processing,6,35,40996
Crime Prediction,General,6,47,114234
Negation Scope Resolution,General,6,12,114234
Negation Scope Resolution,Natural Language Processing,6,12,40996
Car Racing,Reinforcement Learning,6,48,6988
Reflection Removal,General,6,81,114234
Atari Games 100k,General,6,18,114234
Phrase Grounding,Graphs,6,88,12318
Text-to-Face Generation,Computer Vision,6,10,54472
Self-Driving Cars,Graphs,6,514,12318
Sleep apnea detection,General,6,20,114234
Time-to-Event Prediction,General,6,27,114234
Electroencephalogram (EEG),Reinforcement Learning,6,1655,6988
Robot Navigation,Sequential,6,542,6593
Video Forensics,General,6,17,114234
Citation Recommendation,General,6,55,114234
Product Recommendation,Graphs,6,132,12318
Crowd Counting,Graphs,6,369,12318
Multiobjective Optimization,Computer Vision,6,155,54472
text-based games,Natural Language Processing,6,74,40996
One-Class Classification,Graphs,6,227,12318
Graph Sampling,Natural Language Processing,6,101,40996
Graph Reconstruction,Computer Vision,6,88,54472
Anatomy,Sequential,6,1132,6593
Winogrande,Natural Language Processing,6,26,40996
Graph Classification,Reinforcement Learning,6,924,6988
Few-shot Instance Segmentation,General,6,13,114234
GRAPH DOMAIN ADAPTATION,Computer Vision,6,40,54472
Visual Relationship Detection,Computer Vision,6,82,54472
Distributed Computing,Reinforcement Learning,6,377,6988
Meeting Summarization,Natural Language Processing,6,50,40996
Image Deblurring,Graphs,6,395,12318
input filtering,General,6,12,114234
Implicatures,General,6,29,114234
Implicatures,Natural Language Processing,6,29,40996
Algorithmic Trading,Reinforcement Learning,6,95,6988
Automated Theorem Proving,Reinforcement Learning,6,287,6988
EEG Signal Classification,General,6,27,114234
Motion Segmentation,Natural Language Processing,6,212,40996
Semi-Supervised Text Classification,Natural Language Processing,6,39,40996
Sign Language Production,Natural Language Processing,6,40,40996
Unsupervised Instance Segmentation,General,6,17,114234
2D Pose Estimation,Natural Language Processing,6,90,40996
COVID-19 Image Segmentation,General,6,14,114234
COVID-19 Image Segmentation,Computer Vision,6,14,54472
Table Search,General,6,15,114234
Table Search,Natural Language Processing,6,15,40996
Fact Verification,Sequential,6,211,6593
Human motion prediction,Graphs,6,161,12318
Code Repair,Computer Vision,6,38,54472
Relationship Detection,Computer Vision,6,86,54472
Motion Forecasting,Reinforcement Learning,6,205,6988
3D Human Shape Estimation,Computer Vision,6,33,54472
tensor algebra,General,6,41,114234
Starcraft,Graphs,6,309,12318
Crop Yield Prediction,Computer Vision,6,48,54472
Quantization,Audio,6,4915,488
Table annotation,Natural Language Processing,6,31,40996
Length-of-Stay prediction,General,6,28,114234
Split-MNIST,General,6,28,114234
Multi-Object Tracking and Segmentation,General,6,27,114234
Active Learning,Sequential,6,3057,6593
Distributed Optimization,Graphs,6,535,12318
Seeing Beyond the Visible,General,6,8,114234
Point Cloud Retrieval,General,6,18,114234
Learning Semantic Representations,Natural Language Processing,6,38,40996
Stereo Disparity Estimation,General,6,29,114234
Color Normalization,Computer Vision,6,23,54472
Self-supervised Video Retrieval,Graphs,6,10,12318
Long-tailed Object Detection,Computer Vision,6,25,54472
Singing Voice Synthesis,Audio,6,81,488
Visual Object Tracking,Graphs,6,338,12318
Inductive Learning,Natural Language Processing,6,152,40996
Definition Extraction,Natural Language Processing,6,27,40996
Unbiased Scene Graph Generation,Natural Language Processing,6,30,40996
Irregular Time Series,Graphs,6,82,12318
Twitter Sentiment Analysis,Natural Language Processing,6,94,40996
Reverse Dictionary,General,6,35,114234
Table-based Fact Verification,Natural Language Processing,6,25,40996
named-entity-recognition,Reinforcement Learning,6,2456,6988
Named Entity Recognition,Reinforcement Learning,6,2524,6988
COVID-19 Diagnosis,Graphs,6,210,12318
Unsupervised Few-Shot Image Classification,General,6,28,114234
Text to Video Retrieval,Graphs,6,75,12318
SVBRDF Estimation,Computer Vision,6,11,54472
SVBRDF Estimation,General,6,11,114234
Variational Monte Carlo,Computer Vision,6,55,54472
Causal Discovery,Graphs,6,741,12318
Extractive Summarization,Graphs,6,311,12318
Brain Computer Interface,Graphs,6,465,12318
quantile regression,Sequential,6,420,6593
Acrobot,General,6,28,114234
Contrastive Learning,Audio,6,6618,488
Image Compressed Sensing,Computer Vision,6,23,54472
motion prediction,Reinforcement Learning,6,592,6988
Low Resource Neural Machine Translation,Natural Language Processing,6,67,40996
Speech Enhancement,Graphs,6,980,12318
Matrix Completion,Reinforcement Learning,6,792,6988
Probabilistic Time Series Forecasting,Natural Language Processing,6,63,40996
Spectral Super-Resolution,General,6,18,114234
Salient Object Detection,Graphs,6,526,12318
Graph Property Prediction,Computer Vision,6,56,54472
Video deraining,Computer Vision,6,30,54472
Multiple Sequence Alignment,Computer Vision,6,54,54472
GRAPH DOMAIN ADAPTATION,Natural Language Processing,6,40,40996
Face Morphing Attack Detection,Computer Vision,6,25,54472
tabular-classification,Natural Language Processing,6,48,40996
Action Understanding,Computer Vision,6,88,54472
Molecular Graph Generation,Graphs,6,54,12318
Multiple-choice,Reinforcement Learning,6,1097,6988
Unity,Graphs,6,378,12318
Multiobjective Optimization,Natural Language Processing,6,155,40996
Text based Person Retrieval,Natural Language Processing,6,49,40996
Cancer Classification,Graphs,6,208,12318
Speech-to-Text,Graphs,6,401,12318
Thompson Sampling,Graphs,6,652,12318
Molecular Docking,Graphs,6,128,12318
UNET Segmentation,General,6,24,114234
Hope Speech Detection,General,6,47,114234
Hope Speech Detection,Natural Language Processing,6,47,40996
Super-Resolution,Reinforcement Learning,6,3867,6988
Correlated Time Series Forecasting,General,6,10,114234
Short Text Clustering,Graphs,6,33,12318
Genre classification,Graphs,6,130,12318
Music Tagging,Computer Vision,6,35,54472
Audio Denoising,Computer Vision,6,20,54472
Audio Denoising,General,6,20,114234
Sensor Fusion,Graphs,6,508,12318
Future prediction,Reinforcement Learning,6,151,6988
Multi-View 3D Reconstruction,Computer Vision,6,60,54472
Human Dynamics,General,6,52,114234
Explainable artificial intelligence,Graphs,6,971,12318
Conversation Summarization,Natural Language Processing,6,31,40996
Behavioural cloning,General,6,45,114234
audio-visual learning,General,6,38,114234
Inference Optimization,Natural Language Processing,6,56,40996
Model Predictive Control,Graphs,6,1581,12318
3D Shape Classification,Natural Language Processing,6,82,40996
AI Agent,Graphs,6,391,12318
POS,Graphs,6,1132,12318
Passage Retrieval,Computer Vision,6,261,54472
Document Layout Analysis,Graphs,6,98,12318
Extreme Summarization,General,6,21,114234
Semi-Supervised Domain Generalization,General,6,17,114234
Occluded Person Re-Identification,Natural Language Processing,6,46,40996
Aerial Scene Classification,General,6,22,114234
MRI classification,General,6,19,114234
inverse tone mapping,General,6,35,114234
Coronary Artery Segmentation,Computer Vision,6,22,54472
Scanpath prediction,Computer Vision,6,34,54472
Saliency Ranking,General,6,15,114234
Hippocampus,Graphs,6,299,12318
Full reference image quality assessment,General,6,50,114234
Simultaneous Localization and Mapping,Reinforcement Learning,6,571,6988
Unsupervised Semantic Segmentation,Graphs,6,95,12318
Financial Analysis,Computer Vision,6,93,54472
Scene Recognition,Natural Language Processing,6,207,40996
Knowledge-Aware Recommendation,Graphs,6,14,12318
Cross-Domain Few-Shot Object Detection,General,6,17,114234
Out of Distribution (OOD) Detection,Reinforcement Learning,6,627,6988
Multi-class Classification,Reinforcement Learning,6,895,6988
Caption Generation,Graphs,6,308,12318
Learning with noisy labels,Computer Vision,6,248,54472
Room Layout Estimation,Computer Vision,6,44,54472
coreference-resolution,Graphs,6,584,12318
Coreference Resolution,Graphs,6,869,12318
Dynamic Reconstruction,Computer Vision,6,64,54472
Semantic Composition,Computer Vision,6,110,54472
Generalizable Novel View Synthesis,Natural Language Processing,6,30,40996
Rhythm,Reinforcement Learning,6,515,6988
Image Harmonization,Natural Language Processing,6,93,40996
Video Reconstruction,Natural Language Processing,6,145,40996
Label Error Detection,General,6,12,114234
Transliteration,Computer Vision,6,431,54472
3D Shape Classification,Graphs,6,82,12318
Sound Event Localization and Detection,Computer Vision,6,65,54472
Iris Recognition,Natural Language Processing,6,139,40996
Novel Object Detection,Natural Language Processing,6,53,40996
Computer Security,Natural Language Processing,6,66,40996
Simultaneous Localization and Mapping,Graphs,6,571,12318
Auxiliary Learning,Natural Language Processing,6,100,40996
Multi-Person Pose forecasting,General,6,9,114234
Blocking,Reinforcement Learning,6,522,6988
Extracting Buildings In Remote Sensing Images,Natural Language Processing,6,14,40996
Zero-Shot Transfer 3D Point Cloud Classification,Computer Vision,6,11,54472
Image-text Classification,Computer Vision,6,13,54472
Room Impulse Response (RIR),Computer Vision,6,52,54472
Garment Reconstruction,Computer Vision,6,25,54472
Text to Audio Retrieval,General,6,20,114234
Bias Detection,Graphs,6,197,12318
Quantum Machine Learning,Graphs,6,699,12318
Online Action Detection,Natural Language Processing,6,39,40996
Multimodal Emotion Recognition,Sequential,6,179,6593
Protein Folding,Natural Language Processing,6,185,40996
Conversational Search,Computer Vision,6,154,54472
Open Set Learning,Natural Language Processing,6,267,40996
energy trading,Natural Language Processing,6,100,40996
Conformal Prediction,Graphs,6,703,12318
3D Anomaly Detection,Computer Vision,6,36,54472
Portfolio Optimization,Graphs,6,428,12318
Sentence Completion,Computer Vision,6,91,54472
TGIF-Frame,General,6,15,114234
Surface Normal Estimation,Natural Language Processing,6,95,40996
Acoustic Scene Classification,Natural Language Processing,6,131,40996
Traffic Object Detection,General,6,20,114234
ISAC,Reinforcement Learning,6,691,6988
Action Unit Detection,Natural Language Processing,6,108,40996
Authorship Attribution,Graphs,6,208,12318
Long-tail Learning,Natural Language Processing,6,131,40996
ICU Admission,Natural Language Processing,6,43,40996
Cell Segmentation,Graphs,6,178,12318
Spatio-Temporal Video Grounding,Natural Language Processing,6,22,40996
Facial Attribute Classification,General,6,37,114234
Point Cloud Pre-training,Natural Language Processing,6,26,40996
Protein Language Model,Graphs,6,73,12318
nlg evaluation,Natural Language Processing,6,68,40996
Intent Recognition,Graphs,6,92,12318
Deformable Object Manipulation,General,6,44,114234
Weakly supervised segmentation,Natural Language Processing,6,147,40996
Action Spotting,General,6,33,114234
Operator learning,Graphs,6,347,12318
Micro Expression Recognition,Natural Language Processing,6,72,40996
Micro-Expression Recognition,Natural Language Processing,6,74,40996
Raindrop Removal,General,6,22,114234
NavSim,Reinforcement Learning,6,26,6988
Weakly-supervised Video Anomaly Detection,Computer Vision,6,36,54472
Highlight Detection,Graphs,6,77,12318
Composed Image Retrieval (CoIR),Computer Vision,6,14,54472
Sentiment Classification,Reinforcement Learning,6,943,6988
Motion Interpolation,General,6,21,114234
Object Rearrangement,Computer Vision,6,63,54472
3D Multi-Object Tracking,Natural Language Processing,6,101,40996
Object Rearrangement,Natural Language Processing,6,63,40996
Medical Image Segmentation,Reinforcement Learning,6,2087,6988
Cell Segmentation,Natural Language Processing,6,178,40996
Value prediction,Graphs,6,83,12318
Portfolio Optimization,Reinforcement Learning,6,428,6988
Safe Exploration,Computer Vision,6,135,54472
Traffic Sign Detection,Natural Language Processing,6,56,40996
Phenotype classification,General,6,13,114234
Inference Attack,Graphs,6,283,12318
inverse tone mapping,Computer Vision,6,35,54472
Beat Tracking,General,6,19,114234
Temporal Action Segmentation,Natural Language Processing,6,61,40996
motion in-betweening,Computer Vision,6,17,54472
Semantic SLAM,General,6,40,114234
LIDAR Semantic Segmentation,Graphs,6,129,12318
Event-based Optical Flow,General,6,36,114234
Flare Removal,Natural Language Processing,6,24,40996
Contact-rich Manipulation,General,6,61,114234
Explanation Generation,Reinforcement Learning,6,232,6988
Natural Questions,Graphs,6,174,12318
Referring expression generation,Computer Vision,6,84,54472
Jurisprudence,General,6,26,114234
Diabetic Retinopathy Grading,Natural Language Processing,6,44,40996
Audio Signal Processing,Natural Language Processing,6,70,40996
automatic-speech-translation,General,6,22,114234
Sketch Colorization,General,6,9,114234
Collision Avoidance,Graphs,6,568,12318
Protein Function Prediction,Natural Language Processing,6,79,40996
Text-to-Music Generation,Natural Language Processing,6,37,40996
Complex Query Answering,Natural Language Processing,6,33,40996
Unsupervised Image Registration,Computer Vision,6,22,54472
Problem Decomposition,Natural Language Processing,6,54,40996
3D Generation,Graphs,6,430,12318
Geometry Problem Solving,General,6,27,114234
Audio-visual Question Answering,General,6,27,114234
Zero-shot Text-to-Image Retrieval,General,6,14,114234
Automated Theorem Proving,Computer Vision,6,287,54472
Photo geolocation estimation,Computer Vision,6,17,54472
Face Anonymization,Computer Vision,6,23,54472
Natural Language Moment Retrieval,General,6,22,114234
Indoor Scene Synthesis,Computer Vision,6,26,54472
Fine-Grained Visual Recognition,Graphs,6,72,12318
Diffusion Personalization,General,6,19,114234
Scene Text Editing,Computer Vision,6,17,54472
User Simulation,General,6,64,114234
RGBD Semantic Segmentation,General,6,14,114234
2k,Reinforcement Learning,6,287,6988
Latent Diffusion Model for 3D,Computer Vision,6,6,54472
3D Molecule Generation,Natural Language Processing,6,37,40996
Retinal Vessel Segmentation,Natural Language Processing,6,139,40996
Physical Simulations,Natural Language Processing,6,100,40996
Cloud Detection,Natural Language Processing,6,72,40996
CARLA Leaderboard 2.0,General,6,6,114234
CARLA Leaderboard 2.0,Reinforcement Learning,6,6,6988
ECG Classification,Natural Language Processing,6,116,40996
Memorization,Reinforcement Learning,6,1078,6988
Red Teaming,Reinforcement Learning,6,251,6988
Blind Image Quality Assessment,Natural Language Processing,6,46,40996
Hybrid Machine Learning,Natural Language Processing,6,103,40996
Graph Anomaly Detection,Natural Language Processing,6,86,40996
Models Alignment,Computer Vision,6,21,54472
Zero-Shot Object Detection,Natural Language Processing,6,57,40996
Attribute Extraction,Natural Language Processing,6,59,40996
Motion Compensation,Natural Language Processing,6,207,40996
Prompt Learning,Reinforcement Learning,6,675,6988
Speech Tokenization,General,6,21,114234
TruthfulQA,Computer Vision,6,80,54472
text-guided-generation,General,6,21,114234
Heart Rate Variability,Natural Language Processing,6,131,40996
Dataset Condensation,Computer Vision,6,56,54472
Medical Image Generation,Natural Language Processing,6,77,40996
Attribute Value Extraction,Natural Language Processing,6,35,40996
Consistent Character Generation,Computer Vision,6,10,54472
Inverse Rendering,Natural Language Processing,6,269,40996
Geometry Problem Solving,Computer Vision,6,27,54472
Underwater Image Restoration,Computer Vision,6,38,54472
Referring expression generation,Natural Language Processing,6,84,40996
MME,Computer Vision,6,95,54472
Task Arithmetic,Natural Language Processing,6,61,40996
Drone navigation,General,6,40,114234
Open Vocabulary Panoptic Segmentation,General,6,17,114234
Pneumonia Detection,Natural Language Processing,6,63,40996
Protein Language Model,Computer Vision,6,73,54472
knowledge editing,Computer Vision,6,175,54472
NR-IQA,Natural Language Processing,6,50,40996
Video MME,General,6,26,114234
geo-localization,Graphs,6,140,12318
Portrait Animation,Natural Language Processing,6,32,40996
MMLU,Reinforcement Learning,6,340,6988
Contact-rich Manipulation,Computer Vision,6,61,54472
Age And Gender Classification,Computer Vision,5,34,54472
Age Classification,Computer Vision,5,29,54472
Colorectal Gland Segmentation:,Computer Vision,5,9,54472
Video Saliency Detection,Sequential,5,36,6593
Human action generation,Computer Vision,5,13,54472
Headline Generation,Sequential,5,86,6593
Speech-to-Text,Sequential,5,401,6593
Fine-Grained Image Classification,Sequential,5,352,6593
Evolutionary Algorithms,Sequential,5,1106,6593
Procedural Text Understanding,General,5,15,114234
Paper generation,General,5,13,114234
Relation Prediction,Sequential,5,184,6593
Dynamic Topic Modeling,General,5,20,114234
ERP,Sequential,5,150,6593
Source Free Object Detection,General,5,17,114234
Multiple Object Tracking,Sequential,5,317,6593
Link Property Prediction,Graphs,5,13,12318
One-stage Anchor-free Oriented Object Detection,Computer Vision,5,17,54472
Dialogue Management,Reinforcement Learning,5,195,6988
3D Point Cloud Linear Classification,General,5,21,114234
Citation Intent Classification,General,5,17,114234
Only Connect Walls Dataset Task 1 (Grouping),General,5,10,114234
Citation Intent Classification,Natural Language Processing,5,17,40996
Tone Mapping,Graphs,5,128,12318
Visual Tracking,Sequential,5,524,6593
Subjectivity Analysis,Natural Language Processing,5,63,40996
Phoneme Recognition,Sequential,5,103,6593
Clinical Concept Extraction,Sequential,5,23,6593
Aerial Scene Classification,Computer Vision,5,22,54472
Clickbait Detection,General,5,31,114234
Information Plane,General,5,30,114234
Future prediction,Sequential,5,151,6593
Supervised Only 3D Point Cloud Classification,Natural Language Processing,5,13,40996
Suggestion mining,Sequential,5,32,6593
Medical Image Analysis,Sequential,5,1357,6593
Fundus to Angiography Generation,General,5,7,114234
Sketch-to-Image Translation,Computer Vision,5,14,54472
Visual Object Tracking,Sequential,5,338,6593
Asset Management,Natural Language Processing,5,87,40996
Semantic Frame Parsing,General,5,22,114234
Node Classification,Reinforcement Learning,5,1855,6988
Claim Verification,Computer Vision,5,132,54472
De-identification,Sequential,5,174,6593
Dialogue Act Classification,Sequential,5,65,6593
Model Optimization,Sequential,5,379,6593
Action Classification,Sequential,5,456,6593
Knowledge Base Question Answering,Sequential,5,133,6593
Medical Relation Extraction,General,5,15,114234
Cloud Computing,Sequential,5,581,6593
Image Compression,Sequential,5,1007,6593
Injury Prediction,General,5,11,114234
Unsupervised MNIST,Computer Vision,5,10,54472
Facial Expression Recognition,Sequential,5,531,6593
Collaborative Inference,Computer Vision,5,68,54472
Face Clustering,Graphs,5,62,12318
Boundary Detection,Sequential,5,357,6593
continuous-control,Sequential,5,1097,6593
Continuous Control,Sequential,5,1159,6593
Hyperspectral image analysis,General,5,36,114234
Surgical tool detection,Computer Vision,5,14,54472
POS Tagging,Computer Vision,5,516,54472
Sentence Summarization,Sequential,5,43,6593
CCG Supertagging,Sequential,5,24,6593
Lemmatization,Computer Vision,5,350,54472
Semantic Retrieval,Computer Vision,5,86,54472
Morphological Tagging,Sequential,5,93,6593
text-based games,Reinforcement Learning,5,74,6988
Pedestrian Detection,Graphs,5,438,12318
Leadership Inference,Sequential,5,5,6593
Real-Time Object Detection,Reinforcement Learning,5,258,6988
Answer Selection,Computer Vision,5,171,54472
Event Coreference Resolution,General,5,70,114234
Acoustic Modelling,Computer Vision,5,48,54472
hypergraph partitioning,General,5,26,114234
Tree Decomposition,General,5,34,114234
Humanitarian,Sequential,5,185,6593
Visual Dialog,Sequential,5,115,6593
Heterogeneous Treatment Effect Estimation,General,5,38,114234
Real-Time Object Detection,Sequential,5,258,6593
Thoracic Disease Classification,Computer Vision,5,16,54472
One-Shot Learning,Sequential,5,303,6593
2D Semantic Segmentation,Graphs,5,79,12318
Surface Normals Estimation,General,5,38,114234
Spike Sorting,Computer Vision,5,51,54472
Unseen Object Instance Segmentation,General,5,13,114234
LV Segmentation,General,5,28,114234
Left Ventricle Segmentation,Computer Vision,5,25,54472
LV Segmentation,Computer Vision,5,28,54472
GAN image forensics,Computer Vision,5,8,54472
Voice Similarity,General,5,14,114234
Music Emotion Recognition,Computer Vision,5,35,54472
Linear-Probe Classification,Computer Vision,5,11,54472
Multimodal Intent Recognition,Natural Language Processing,5,16,40996
Indoor Localization,Sequential,5,250,6593
Nuclei Classification,General,5,14,114234
Data-to-Text Generation,Graphs,5,214,12318
Graph-to-Sequence,Graphs,5,48,12318
Unsupervised Pre-training,Sequential,5,263,6593
Voice Similarity,Computer Vision,5,14,54472
Unsupervised Speech Recognition,Computer Vision,5,17,54472
Load Forecasting,Reinforcement Learning,5,235,6988
Probabilistic Programming,Computer Vision,5,273,54472
Nuclei Classification,Graphs,5,14,12318
Robust 3D Object Detection,Computer Vision,5,33,54472
Partial Domain Adaptation,Computer Vision,5,56,54472
Natural Language Queries,Sequential,5,335,6593
Video Compression,Sequential,5,496,6593
Scene Change Detection,General,5,24,114234
3D Point Cloud Reconstruction,Computer Vision,5,22,54472
satellite image super-resolution,Computer Vision,5,12,54472
Community Question Answering,Sequential,5,235,6593
Predicate Detection,General,5,11,114234
Nested Named Entity Recognition,Sequential,5,77,6593
AMR Parsing,Sequential,5,113,6593
Word Alignment,Sequential,5,545,6593
Satire Detection,General,5,13,114234
Discourse Parsing,Sequential,5,188,6593
Image-level Supervised Instance Segmentation,General,5,14,114234
Group Activity Recognition,Computer Vision,5,65,54472
Face Identification,Graphs,5,142,12318
Cross-Modal Information Retrieval,Computer Vision,5,16,54472
Data Visualization,Graphs,5,335,12318
Traffic Classification,Sequential,5,110,6593
Mental Stress Detection,General,5,9,114234
Automated Feature Engineering,General,5,46,114234
Medical Relation Extraction,Natural Language Processing,5,15,40996
Data Compression,Sequential,5,459,6593
3D Object Detection From Stereo Images,Computer Vision,5,14,54472
3D Shape Reconstruction,Graphs,5,139,12318
Variable Selection,Reinforcement Learning,5,565,6988
Information Retrieval,Audio,5,4717,488
Music Information Retrieval,Audio,5,255,488
Metaheuristic Optimization,Reinforcement Learning,5,69,6988
UCCA Parsing,General,5,13,114234
Monocular Visual Odometry,Computer Vision,5,71,54472
Extractive Document Summarization,General,5,28,114234
Heterogeneous Face Recognition,Computer Vision,5,36,54472
Joint Entity and Relation Extraction,Sequential,5,85,6593
Tensor Networks,Graphs,5,226,12318
Robust Face Alignment,General,5,17,114234
Unsupervised Video Summarization,General,5,30,114234
Chinese Sentiment Analysis,Natural Language Processing,5,11,40996
Classification Consistency,General,5,13,114234
Semi-Supervised Image Classification,Natural Language Processing,5,167,40996
Entity Typing,Sequential,5,162,6593
Human Detection,Graphs,5,306,12318
Network Interpretation,Computer Vision,5,26,54472
Abusive Language,Computer Vision,5,164,54472
Lifelong learning,Sequential,5,467,6593
Node Classification on Non-Homophilic (Heterophilic) Graphs,Computer Vision,5,29,54472
Constituency Parsing,Computer Vision,5,199,54472
Keyphrase Extraction,Computer Vision,5,150,54472
Dialect Identification,Computer Vision,5,189,54472
Respiratory Failure,General,5,26,114234
Unsupervised Extractive Summarization,General,5,30,114234
Riemannian optimization,Graphs,5,152,12318
Deep Attention,Sequential,5,108,6593
Audio Question Answering,Natural Language Processing,5,18,40996
Image Augmentation,Reinforcement Learning,5,308,6988
Loop Closure Detection,Computer Vision,5,89,54472
Method name prediction,Graphs,5,24,12318
Multiple Object Tracking,Graphs,5,317,12318
Video Generation,Sequential,5,1461,6593
Triple Classification,Natural Language Processing,5,45,40996
Scene Understanding,Sequential,5,1722,6593
Modality completion,Computer Vision,5,10,54472
Part-Of-Speech Tagging,Graphs,5,985,12318
Text Clustering,Computer Vision,5,121,54472
subspace methods,General,5,49,114234
Scene Generation,Graphs,5,308,12318
Philosophy,Sequential,5,753,6593
Stock Prediction,Graphs,5,102,12318
Nested Named Entity Recognition,Natural Language Processing,5,77,40996
Sensor Modeling,General,5,25,114234
Skills Assessment,General,5,21,114234
Transfer Reinforcement Learning,Reinforcement Learning,5,41,6988
Video Similarity,General,5,24,114234
Text Detection,Sequential,5,592,6593
cognitive diagnosis,Computer Vision,5,42,54472
Real-World Adversarial Attack,General,5,15,114234
Temporal Relation Extraction,Computer Vision,5,88,54472
3D Face Alignment,Computer Vision,5,26,54472
Distance regression,Computer Vision,5,19,54472
NMT,Reinforcement Learning,5,1737,6988
Incremental Learning,Sequential,5,1370,6593
Audio Super-Resolution,General,5,21,114234
Novel Concepts,Graphs,5,158,12318
Partially Observable Reinforcement Learning,General,5,18,114234
Trajectory Forecasting,Graphs,5,187,12318
set matching,Natural Language Processing,5,41,40996
Position regression,General,5,15,114234
Entity Embeddings,Sequential,5,150,6593
Inductive knowledge graph completion,General,5,20,114234
Text Categorization,Natural Language Processing,5,246,40996
Magnetic Resonance Fingerprinting,General,5,35,114234
